Time [s],SP_AV1 [bar],SP_AV2 [mm],SP_AV3 [bar],Kp1 [N/A],Ki1 [N/A],Kd1 [N/A],Kp2 [N/A],Ki2 [N/A],Kd2 [N/A],Kp3 [N/A],Ki3 [N/A],Kd3 [N/A],S1fake [bar],S5fake [bar],S6fake [mm],AV1fake [%],AV2fake [%],AV3fake [%],S1real [bar],S2real [m3/h],S5real [bar],S6real [mm],S7real [m3/h],AV1real [%],AV2real [%],AV3real [%],QwIN [m3/h],QwOUT [m3/h],VwOUT [m3],Plant NORMALSTARTUP [1/0],Attack [1/0],Plant SHUTDOWN [1/0],Plant OFF [1/0],Plant RESTART [1/0]
19,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646858,9.990923846,1.278519149,296.0570413,23.51801714,87.58125,36.41176471,64.44897959,9.990923846,5.397487183,0.004217363,1,0,0,0,0
20,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646764,9.99097225,1.278519149,296.2328063,23.51541288,87.59375,36.42156863,64.48979592,9.99097225,6.843912036,0.004407471,1,0,0,0,0
21,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646684,9.991017853,1.278519149,296.4270868,23.51295929,87.60625,36.38235294,64.55102041,9.991017853,6.512438887,0.004588372,1,0,0,0,0
22,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646615,9.991060819,1.278519149,296.6123715,23.51064763,87.6125,36.37254902,64.59183673,9.991060819,6.673551032,0.004773749,1,0,0,0,0
23,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646556,9.991101299,1.278519149,296.7017959,23.50846971,87.625,36.41176471,64.65306122,9.991101299,8.389963579,0.005006803,1,0,0,0,0
24,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646506,9.991139437,1.278519149,296.9538336,23.50641777,87.6375,36.32352941,64.69387755,9.991139437,5.478421784,0.005158982,1,0,0,0,0
25,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646463,9.991175369,1.278519149,297.1322559,23.50448455,87.64375,36.31372549,64.75510204,9.991175369,6.796536381,0.005347774,1,0,0,0,0
26,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646426,9.991209223,1.278519149,297.2974348,23.50266316,87.65625,36.29411765,64.79591837,9.991209223,7.0336924,0.005543155,1,0,0,0,0
27,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646395,9.991241118,1.278519149,297.3755719,23.50094714,87.66875,36.34313725,64.85714286,9.991241118,8.592201726,0.005781827,1,0,0,0,0
28,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646368,9.991271167,1.278519149,297.6083497,23.49933039,87.68125,36.23529412,64.89795918,9.991271167,5.823400697,0.005943588,1,0,0,0,0
29,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646345,9.991299479,1.278519149,297.8101139,23.49780717,87.6875,36.2254902,64.93877551,9.991299479,6.37872538,0.006120775,1,0,0,0,0
30,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646325,9.991326152,1.278519149,297.9413427,23.49637207,87.7,36.21568627,65,9.991326152,7.64168353,0.006333044,1,0,0,0,0
31,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646308,9.991351283,1.278519149,298.1401321,23.49501999,87.7125,36.1372549,65.04081633,9.991351283,6.432040773,0.006511712,1,0,0,0,0
